Source,Scraped,Headline,Link
BBC Sport,2020/01/04,England in South Africa: Tourists fight back with ball to end day two on top,http://www.bbc.co.uk/sport/cricket/50994672
BBC Sport,2020/01/04,"Rochdale 1-1 Newcastle United, FA Cup third round",http://www.bbc.co.uk/sport/football/50975993
BBC Sport,2020/01/04,Virat Kohli: India captain 'not a fan' of four-day Tests,http://www.bbc.co.uk/sport/cricket/50992361
BBC Sport,2020/01/04,"FA Cup third-round action - TV, radio & text coverage",http://www.bbc.co.uk/sport/live/football/50892716
BBC Sport,2020/01/04,Australia v New Zealand: Marnus Labuschagne makes 215 for hosts,http://www.bbc.co.uk/sport/cricket/50991733
BBC Sport,2020/01/04,"ATP Cup: France earn opening win, victories for Japan and Argentina",http://www.bbc.co.uk/sport/tennis/50991928
BBC Sport,2020/01/04,US Soccer postpones Qatar training camp after Iran general killed in Baghdad,http://www.bbc.co.uk/sport/football/50991736
Cricinfo,2020/01/04,Marnus Labuschagne makes up for missed opportunities of 2019,http://www.espncricinfo.com/ci/content/story/1212027.html?CMP=OTC-RSS
Cricinfo,2020/01/04,Cricket Australia open to staging charity match to raise funds for bushfire cause,http://www.espncricinfo.com/ci/content/story/1212013.html?CMP=OTC-RSS
Cricinfo,2020/01/04,"Tom Latham, Tom Blundell start steady after Marnus Labuschagne's 215",http://www.espncricinfo.com/ci/content/story/1211981.html?CMP=OTC-RSS
The Guardian,2020/01/03,Paul Gustard hits out at ‘ridiculous’ Joe Marler after Sharks maul Quins,https://www.theguardian.com/sport/2020/jan/03/sale-harlequins-premiership-rugby
The Guardian,2020/01/04,Saracens’ win overshadowed by Michael Fatialofa’s neck injury for Worcester,https://www.theguardian.com/sport/2020/jan/04/saracens-worcester-premiership-match-report
The Guardian,2020/01/04,Glorious Gloucester storm back for bonus-point win over Bath,https://www.theguardian.com/sport/2020/jan/04/gloucester-bath-premiership-match-report
The Guardian,2020/01/04,Jonny May double helps Leicester ease relegation fears with win over Bristol,https://www.theguardian.com/sport/2020/jan/04/leicester-bristol-premiership-match-report
The Guardian,2020/01/04,London Irish feel pressure to find wins with Brentford move looming,https://www.theguardian.com/sport/2020/jan/04/stephen-myler-exiles-exeter-rugby-union-premiership
SMH,2020/01/05,Rafael Nadal cruises to victory at ATP Cup,https://www.smh.com.au/sport/tennis/rafael-nadal-cruises-to-victory-at-atp-cup-20200105-p53ow0.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/05,Novak Djokovic outlasts Anderson in ATP Cup tie,https://www.smh.com.au/sport/tennis/novak-djokovic-outlasts-anderson-in-atp-cup-tie-20200105-p53ovy.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/04,Ryan puts a bit of European polish on promising Judicator,https://www.smh.com.au/sport/racing/ryan-puts-a-bit-of-european-polish-on-promising-judicator-20200104-p53otd.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/04,Race-by-race tips and preview for Wyong on Sunday,https://www.smh.com.au/sport/racing/race-by-race-tips-and-preview-for-wyong-on-sunday-20200104-p53ot4.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/04,Stars hit Renegades for six as title defence left in tatters,https://www.smh.com.au/sport/cricket/stars-hit-renegades-for-six-as-title-defence-left-in-tatters-20200104-p53ovq.html?ref=rss&utm_medium=rss&utm_source=rss_sport
The Guardian,2020/01/04,Marnus Labuschagne double ton hands Australia healthy lead,https://www.theguardian.com/sport/2020/jan/04/marnus-labuschagne-double-ton-hands-australia-healthy-lead
The Guardian,2020/01/04,"Sportwatch: Sydney and Phoenix win again, Stars stroll BBL derby – as it happened",https://www.theguardian.com/sport/live/2020/jan/04/sportwatch-a-league-big-bash-league-and-atp-cup-live
The Guardian,2020/01/04,Sam Kerr to make Chelsea Women's Super League debut against Reading,https://www.theguardian.com/football/2020/jan/04/sam-kerr-to-make-chelsea-womens-super-league-debut-against-reading
The Guardian,2020/01/04,"South Africa 215-8 against England: second Test, day two – as it happened",https://www.theguardian.com/sport/live/2020/jan/04/south-africa-v-england-second-test-day-two-live
ABC,2020/01/04,Marnus Labuschagne's concentration once nearly cruelled his career,https://www.abc.net.au/news/2020-01-04/marnus-labuschagne-makes-his-mark-concentration-the-key/11841376
ABC,2020/01/04,'We are sincerely sorry': Wrong anthem played for Moldova at ATP Cup,https://www.abc.net.au/news/2020-01-04/wrong-anthem-played-for-moldova-at-atp-cup/11840502
ABC,2020/01/04,Marnus Labuschagne's double century leaves Aussies on top in SCG Test,https://www.abc.net.au/news/2020-01-04/australia-marnus-labuschagne-stars-vs-new-zealand-in-scg-test/11839824
BBC Sport,2020/01/05,Mario Balotelli: 'Shame on Lazio fans' for alleged racist abuse in Brescia game,http://www.bbc.co.uk/sport/football/51002180
BBC Sport,2020/01/05,"Liverpool 1-0 Everton, FA Cup third round: Curtis Jones, 18, scores stunning winner",http://www.bbc.co.uk/sport/football/50976228
BBC Sport,2020/01/05,NFL Play-offs: Saints v Vikings & Eagles v Seahawks,http://www.bbc.co.uk/sport/live/american-football/50989193
BBC Sport,2020/01/05,NBA: Vince Carter becomes first player to play in four different decades,http://www.bbc.co.uk/sport/basketball/50999401
BBC Sport,2020/01/05,Dakar Rally: Fernando Alonso 11th after first stage won by Vaidotas Zala,http://www.bbc.co.uk/sport/motorsport/50999398
BBC Sport,2020/01/05,FA Cup round-up: Derby beat Crystal Palace but Middlesbrough force Spurs replay,http://www.bbc.co.uk/sport/football/51000280
BBC Sport,2020/01/05,England in South Africa: Dom Sibley's 85 not out puts tourists in control,http://www.bbc.co.uk/sport/cricket/51000780
BBC Sport,2020/01/05,"Crystal Palace 0-1 Derby County, FA Cup third round",http://www.bbc.co.uk/sport/football/50976221
BBC Sport,2020/01/05,FA Cup third round: Eleven games - but how many shocks?,http://www.bbc.co.uk/sport/live/football/50897397
BBC Sport,2020/01/05,Tom Brady: New England Patriots quarterback 'unlikely' to retire despite defeat,http://www.bbc.co.uk/sport/american-football/50997756
Cricinfo,2020/01/05,'Doesn't sit really well' - Nathan Lyon miffed after dropping catches,http://www.espncricinfo.com/ci/content/story/1212150.html?CMP=OTC-RSS
Cricinfo,2020/01/05,"Australia pull ahead after Nathan Lyon, Pat Cummins bowl New Zealand out",http://www.espncricinfo.com/ci/content/story/1212106.html?CMP=OTC-RSS
The Guardian,2020/01/05,Exeter use all their power and reduce London Irish to silence,https://www.theguardian.com/sport/2020/jan/05/london-irish-exeter-premiership-match-report-rugby
