Source,Scraped,Headline,Link
Daily FT,2020-01-06,"Expediting judicial process to deliver judgments within 1,000 days and enhancing economic growth: Part 1",http://www.ft.lk/opinion/Expediting-judicial-process-to-deliver-judgments-within-1-000-days-and-enhancing-economic-growth-Part-1/14-693026
Daily FT,2020-01-06,Gota’s economic war: Ferocity of the enemy makes the challenge frightening,http://www.ft.lk/columns/Gota-s-economic-war-Ferocity-of-the-enemy-makes-the-challenge-frightening/4-693054
Daily FT,2020-01-06,Appreciation: Deivanayagam Eassuwaren,http://www.ft.lk/opinion/Appreciation-Deivanayagam-Eassuwaren/14-693056
Daily FT,2020-01-06,Incumbent President of Sri Lanka must enforce domestic discipline,http://www.ft.lk/columns/Incumbent-President-of-Sri-Lanka-must-enforce-domestic-discipline/4-693057
Daily Mirror,2020-01-06,Let’s Sing a 50:50 Tamil / Sinhala National Anthem,http://www.dailymirror.lk/opinion/Lets-Sing-a-5050-Tamil-Sinhala-National-Anthem/172-180757
Daily Mirror,2020-01-06,Is patriotism the solution for Sinhala-Buddhist nationalism?,http://www.dailymirror.lk/opinion/Is-patriotism-the-solution-for-Sinhala-Buddhist-nationalism/172-180756
Daily Mirror,2020-01-06,Global Unravelling and our Democratic Future,http://www.dailymirror.lk/opinion/Global-Unravelling-and-our-Democratic-Future/172-180754
Colombo Telegraph,2020-01-06,Terrible Australian Bushfires & Fire-Hawks: Lessons For Sri Lanka!,https://www.colombotelegraph.com/index.php/terrible-australian-bushfires-fire-hawks-lessons-for-sri-lanka/
Colombo Telegraph,2020-01-06,Tamil Ideologues Twisting History To Suit Their Political Agenda – Reply To C. V. Wigneswaran,https://www.colombotelegraph.com/index.php/tamil-ideologues-twisting-history-to-suit-their-political-agenda-reply-to-c-v-wigneswaran/
The Island,2020-01-06,National Flag design,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216591
The Island,2020-01-06,Yahapalana govt.’s callous disregard  for agriculture ,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216593
The Island,2020-01-06,Coal Power and Catholic Church,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216592
Daily FT,2020-01-07,Tobacco smoking in Sri Lanka:  Going the last mile,http://www.ft.lk/opinion/Tobacco-smoking-in-Sri-Lanka-Going-the-last-mile/14-693166
Daily FT,2020-01-07,NATA Chairman enthuses over tobacco control efforts,http://www.ft.lk/opinion/NATA-Chairman-enthuses-over-tobacco-control-efforts/14-693165
Daily FT,2020-01-07,"Expediting judicial process to deliver judgments within 1,000 days and enhancing economic growth: Part 2",http://www.ft.lk/opinion/Expediting-judicial-process-to-deliver-judgments-within-1-000-days-and-enhancing-economic-growth-Part-2/14-693120
Daily FT,2020-01-07,Electricity crisis and Gotabaya’s proposals,http://www.ft.lk/columns/Electricity-crisis-and-Gotabaya-s-proposals/4-693134
Daily FT,2020-01-07,Winds of change a positive sign for 2020 and beyond?,http://www.ft.lk/columns/Winds-of-change-a-positive-sign-for-2020-and-beyond/4-693136
