Source,Scraped,Headline,Link
The Island,2020-01-06,CNN Travel names Sri Lanka one of the best places to visit in  2020,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216571
The Island,2020-01-06,"Sri Lanka envisions further growth in 2020, hopes for more  Chinese investment",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216573
The Island,2020-01-06,Marina Square highlights investment opportunities in Sri Lanka,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216575
The Island,2020-01-06,CINEC to hold Open Day on 11th January 2020,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216577
Daily FT,2020-01-06,"Hayleys Fentons MD bullish on construction, renewables, despite domestic challenges",http://www.ft.lk/business/Hayleys-Fentons-MD-bullish-on-construction-renewables-despite-domestic-challenges/34-693104
Daily FT,2020-01-06,New Chairman at Industrial Development Board assumes duties,http://www.ft.lk/business/New-Chairman-at-Industrial-Development-Board-assumes-duties/34-693092
Daily FT,2020-01-06,German inflation subdued in December,http://www.ft.lk/business/German-inflation-subdued-in-December/34-693040
Daily FT,2020-01-06,India 2019 gold imports hits three-year low as record high prices dent demand,http://www.ft.lk/business/India-2019-gold-imports-hits-three-year-low-as-record-high-prices-dent-demand/34-693041
Daily FT,2020-01-06,UAE fund allocates  $ 200 m to support economic projects in Pakistan,http://www.ft.lk/business/UAE-fund-allocates-200-m-to-support-economic-projects-in-Pakistan/34-693042
Daily FT,2020-01-06,Japan orders tightening of immigration procedures after Ghosn flees country,http://www.ft.lk/business/Japan-orders-tightening-of-immigration-procedures-after-Ghosn-flees-country/34-693043
Daily FT,2020-01-06,"Gulf markets plunge on US-Iran tensions, Aramco hits lowest since IPO",http://www.ft.lk/business/Gulf-markets-plunge-on-US-Iran-tensions-Aramco-hits-lowest-since-IPO/34-693044
Daily FT,2020-01-06,US factory sector in deepest slump in more than 10 years,http://www.ft.lk/business/US-factory-sector-in-deepest-slump-in-more-than-10-years/34-693045
Republic Next,2020-01-07,Most Sri Lankans will not  pay more to protect local industries – Advocata,https://www.republicnext.com/economy/most-sri-lankans-will-not-pay-more-to-protect-local-industries-advocata/
The Island,2020-01-07,Bourse weighed down by foreign sell-offs,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216618
The Island,2020-01-07,Grit Property Group workshop on Australian property investment  and migration,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216620
The Island,2020-01-07,"‘Health is Wealth Day’, an awareness campaign at Green Path",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216622
The Island,2020-01-07,Huawei asks court to overturn FCC order on government subsidy  program,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216626
