Source,Scraped,Headline,Link
ABC,2020/01/02,How 'local heroes on the back of utes' came to the rescue of one NSW South Coast town as fires raged,http://www.abc.net.au/news/2020-01-02/brave-malua-locals-saved-town-from-nsw-fire/11837214
ABC,2020/01/02,'Patience and calm': How Scott Morrison wants Australians to respond to the bushfires,http://www.abc.net.au/news/2020-01-02/scott-morrison-urges-patience-and-calm-to-deal-with-bushfires/11837358
ABC,2020/01/02,'Three hours of hell': South Coast man watches home burn from lake while saving families,http://www.abc.net.au/news/2020-01-02/fires-lake-conjola-hero-brett-cripps-home-burn-down-boat-rescue/11836676
ABC,2020/01/01,How to get out of the South Coast 'leave zone',http://www.abc.net.au/news/2020-01-02/nsw-bushfires-evacuations-batemans-bay-princes-highway/11836882
ABC,2020/01/01,Tourists warned to get out of NSW South Coast before the weekend,http://www.abc.net.au/news/2020-01-02/nsw-rural-fire-service-declares-tourist-leave-zone-south-coast/11836730
Sky News,2020/01/03,Investigation into Minister for Energy Angus Talyor's office referred to the AFP,https://www.skynews.com.au/details/_6119208833001
Sky News,2020/01/03,PM Morrison wants to 'reassure Australians he is addressing the bushfire crisis' ,https://www.skynews.com.au/details/_6119185968001
Sky News,2020/01/03,Federal govt 'concerned with human cost and not financial cost' of bushfires: Frydenberg,https://www.skynews.com.au/details/_6119193035001
Ten,2020/01/03,"Farmer Battling Drought And Fire Forced To Dump 15,000L Of Milk A Day",https://10daily.com.au/news/australia/a200102mxzkg/farmer-battling-drought-and-fire-forced-to-dump-15000l-of-milk-a-day-20200102
Ten,2020/01/03,Horse Owner Shares Alarming Vision Of Snakebite As Warning To Others,https://10daily.com.au/news/australia/a200101anjbk/horse-owner-shares-alarming-vision-of-snakebite-as-warning-to-others-20200102
Ten,2020/01/03,Brewery Offers Pawternity Leave To Dog Owning Employees,https://10daily.com.au/news/australia/a200102ifaty/brewery-offers-pawternity-leave-for-dog-owning-employees-20200102
