Source,Scraped,Headline,Link
Economy Next,2020-11-14,Government imported Rapid Antigen test kits on epidemiologists’ recommendation – Jayasumana,https://economynext.com/government-imported-rapid-antigen-test-kits-on-epidemiologists-recommendation-jayasumana-75919/
Economy Next,2020-11-14,“Don’t blame the public for the second wave of Covid infections” – Kiriella,https://economynext.com/dont-blame-the-public-for-the-second-wave-of-covid-infections-kiriella-75918/
Daily FT,2020-11-14,"Dual cluster expands to 12,695 cases, with 468 persons testing positive ",http://www.ft.lk/news/Dual-cluster-expands-to-12-695-cases-with-468-persons-testing-positive/56-708921
Daily FT,2020-11-14,Fort Magistrate further remands MP Rishad Bathiudeen till 25 Nov.,http://www.ft.lk/news/Fort-Magistrate-further-remands-MP-Rishad-Bathiudeen-till-25-Nov/56-708920
Daily FT,2020-11-14,Govt.-Opp. clash over import of COVID-19 antigen tests,http://www.ft.lk/news/Govt-Opp-clash-over-import-of-COVID-19-antigen-tests/56-708922
Daily FT,2020-11-14,FM cautions SL travellers against fraudsters,http://www.ft.lk/news/FM-cautions-SL-travellers-against-fraudsters/56-708919
Daily FT,2020-11-14,Army launches ’Drone’ Regiment and locally fabricated line of logistics vehicles,http://www.ft.lk/news/Army-launches-Drone-Regiment-and-locally-fabricated-line-of-logistics-vehicles/56-708895
Daily FT,2020-11-14,Anti-COVID ‘Stay Strong’ campaign by Korean Embassy in Sri Lanka,http://www.ft.lk/news/Anti-COVID-Stay-Strong-campaign-by-Korean-Embassy-in-Sri-Lanka/56-708894
Daily FT,2020-11-14,Pakistani doctors awarded by Kingdom of Saudi Arabia,http://www.ft.lk/news/Pakistani-doctors-awarded-by-Kingdom-of-Saudi-Arabia/56-708893
Daily FT,2020-11-14,SLCPI takes proactive measures to ensure timely access to NCD medication,http://www.ft.lk/news/SLCPI-takes-proactive-measures-to-ensure-timely-access-to-NCD-medication/56-708892
Daily FT,2020-11-14,Mahinda calls for modern economy,http://www.ft.lk/opinion/Mahinda-calls-for-modern-economy/14-708854
The Island,2020-11-15,Basil to decide whether he re-enters Parliament – Mahinda,http://island.lk/basil-to-decide-whether-he-re-enters-parliament-mahinda/
The Island,2020-11-15,Government imported Rapid Antigen test kits on epidemiologists’ recommendation – State Minister,http://island.lk/government-imported-rapid-antigen-test-kits-on-epidemiologists-recommendation-state-minister/
The Island,2020-11-15,Advocata Institute welcomes SL’s decision to resume stalled project to develop East Container Terminal,http://island.lk/advocata-institute-welcomes-sls-decision-to-resume-stalled-project-to-develop-east-container-terminal/
The Island,2020-11-15,Can revival of SOEs create the opportunity to alleviate the crushing debt burden?,http://island.lk/can-revival-of-soes-create-the-opportunity-to-alleviate-the-crushing-debt-burden/
The Island,2020-11-15,Poor family in anguish after their house goes up in flames,http://island.lk/poor-family-in-anguish-after-their-house-goes-up-in-flames/
The Island,2020-11-15,“Don’t blame the public for the second wave of Covid infections” – Kiriella,http://island.lk/dont-blame-the-public-for-the-second-wave-of-covid-infections-kiriella/
The Island,2020-11-15,"‘Govt. destroying 500,000 hectares of forests’ – Harsha De Silva",http://island.lk/govt-destroying-500000-hectares-of-forests-harsha-de-silva/
The Island,2020-11-15,Kenya too falls into Chinese debt trap,http://island.lk/kenya-too-falls-into-chinese-debt-trap/
The Island,2020-11-15,Ban on travel outside Western province disrupts postal services,http://island.lk/ban-on-travel-outside-western-province-disrupts-postal-services/
The Island,2020-11-15,"IFC and Australian Government help create and retain jobs for 12,000 women in Sri Lanka",http://island.lk/ifc-and-australian-government-help-create-and-retain-jobs-for-12000-women-in-sri-lanka/
Economy Next,2020-11-15,Government decision “disastrous for forests and biodiversity” – Environmentalists,https://economynext.com/government-decision-disastrous-for-forests-and-biodiversity-environmentalists-75949/
Sunday Observer,2020-11-15,Helpline introduced for drug addiction,http://www.sundayobserver.lk/2020/11/14/news/helpline-introduced-drug-addiction
Sunday Observer,2020-11-15,Another 03 tested positive for coronavirus,http://www.sundayobserver.lk/2020/11/15/news/another-03-tested-positive-coronavirus
Sunday Observer,2020-11-15,Minuwangoda Covid-19 Cluster: exceeded 13 000,http://www.sundayobserver.lk/2020/11/14/news/minuwangoda-covid-19-cluster-exceeded-13-000
Sunday Observer,2020-11-15,"Maradana, Fort, Pettah, Slave Island, Dam Street declared isolated from 5am on Monday",http://www.sundayobserver.lk/2020/11/14/news/maradana-fort-pettah-slave-island-dam-street-declared-isolated-5am-monday
Sunday Observer,2020-11-15,Minuwangoda Covid-19 Cluster: another 214 tested positive,http://www.sundayobserver.lk/2020/11/14/news/minuwangoda-covid-19-cluster-another-214-tested-positive
Daily Mirror,2020-11-16,BIA phase II development to kick off this month with Japanese funding,http://www.dailymirror.lk/business/BIA-phase-II-development-to-kick-off-this-month-with-Japanese-funding/215-199908
The Island,2020-11-16,Burial or cremation: GMOA wants experts to decide,http://island.lk/burial-or-cremation-gmoa-wants-experts-to-decide/
The Island,2020-11-16,National Movement for Consumer Rights Protection urges govt to plug revenue drains through Budget,http://island.lk/national-movement-for-consumer-rights-protection-urges-govt-to-plug-revenue-drains-through-budget/
The Island,2020-11-16,COVID- 19: Cabraal throws Worldometer at Opposition,http://island.lk/covid-19-cabraal-throws-worldometer-at-opposition/
The Island,2020-11-16,Charmini Pathirana assumes duties as new chairperson of SLAF Seva Vanitha unit,http://island.lk/charmini-pathirana-assumes-duties-as-new-chairperson-of-slaf-seva-vanitha-unit/
The Island,2020-11-16,OUSL complets annual research sessions online,http://island.lk/ousl-complets-annual-research-sessions-online/
The Island,2020-11-16,Wimal accuses UN of playing politics,http://island.lk/wimal-accuses-un-of-playing-politics/
The Island,2020-11-16,A new genus of old tree frog family discovered in Andaman Islands named after Dr. Pethiyagoda,http://island.lk/a-new-genus-of-old-tree-frog-family-discovered-in-andaman-islands-named-after-dr-pethiyagoda/
The Island,2020-11-16,"Lions donate 25 washing machines, 1350 PPEs to Health Ministry to fight coronavirus",http://island.lk/lions-donate-25-washing-machines-1350-ppes-to-health-ministry-to-fight-coronavirus/
The Island,2020-11-16,"Rosy fears there could be 30,000 undetected infections in the city",http://island.lk/rosy-fears-there-could-be-30000-undetected-infections-in-the-city/
The Island,2020-11-16,FM highlights importance of adequate funding for developing countries to overcome challenges to achieving SDGs,http://island.lk/fm-highlights-importance-of-adequate-funding-for-developing-countries-to-overcome-challenges-to-achieving-sdgs/
Economy Next,2020-11-16,Opinion: Failed Government – A Year in Review,https://economynext.com/opinion-failed-government-a-year-in-review-76005/
Economy Next,2020-11-16,Sri Lanka community in Vietnam support typhoon relief efforts,https://economynext.com/sri-lanka-community-in-vietnam-support-typhoon-relief-efforts-75969/
Daily FT,2020-11-16,Vehicle ploughs in to Colombo-7 car showroom ,http://www.ft.lk/news/Vehicle-ploughs-in-to-Colombo-7-car-showroom/56-708966
Daily FT,2020-11-16,"Over 17,000 COVID-19 patients identified in Sri Lanka",http://www.ft.lk/news/Over-17-000-COVID-19-patients-identified-in-Sri-Lanka/56-708965
Daily FT,2020-11-16,Junior Bar wants ‘suitable’ hospitals for COVID-19 positive lawyers,http://www.ft.lk/news/Junior-Bar-wants-suitable-hospitals-for-COVID-19-positive-lawyers/56-708964
Daily Mirror,2020-11-17,US $ 75mn SLDB issue oversubscribed by 15%,http://www.dailymirror.lk/business_247/US-75mn-SLDB-issue-oversubscribed-by-15/395-199985
Daily Mirror,2020-11-17,UK appoints climate change champion to support nations including SL,http://www.dailymirror.lk/business/UK-appoints-climate-change-champion-to-support-nations-including-SL/215-199980
Daily Mirror,2020-11-17,Lock-down Colombo city  for at least two weeks,http://www.dailymirror.lk/print/front_page/Lock-down-Colombo-city-for-at-least-two-weeks/238-200004
Daily Mirror,2020-11-17,Parties must unite and overcome COVID-19 pandemic,http://www.dailymirror.lk/print/front_page/Parties-must-unite-and-overcome-COVID-19-pandemic/238-199998
Daily Mirror,2020-11-17,CA orders Rishad to reforest Kallaru sanctuary at his expense,http://www.dailymirror.lk/print/front_page/CA-orders-Rishad-to-reforest-Kallaru-sanctuary-at-his-expense/238-199999
Daily Mirror,2020-11-17,Motor showroom accident SSP’s daughter released on Police bail,http://www.dailymirror.lk/print/front_page/Motor-showroom-accident-SSPs-daughter-released-on-Police-bail/238-200023
Daily Mirror,2020-11-17,Talaimannar proposed to bury Muslim COVID-19 victims,http://www.dailymirror.lk/print/front_page/Talaimannar-proposed-to-bury-Muslim-COVID-19-victims/238-200019
Daily Mirror,2020-11-17,Two female SLAF officers commissioned as  pilots for first time in SL,http://www.dailymirror.lk/print/front_page/Two-female-SLAF-officers-commissioned-as-pilots-for-first-time-in-SL/238-200002
The Island,2020-11-17,Senior lawyer asks AG to prosecute Bathiudeen for destroying Kallaru forest,http://island.lk/senior-lawyer-asks-ag-to-prosecute-bathiudeen-for-destroying-kallaru-forest/
The Island,2020-11-17,GMOA asks for guidelines on handling bodies of those who die of COVID-19 at home,http://island.lk/gmoa-asks-for-guidelines-on-handling-bodies-of-those-who-die-of-covid-19-at-home/
The Island,2020-11-17,Air Force commissions its first female pilots,http://island.lk/air-force-commissions-its-first-female-pilots/
The Island,2020-11-17,Ten students score full marks at Grade Five Scholarship,http://island.lk/ten-students-score-full-marks-at-grade-five-scholarship/
The Island,2020-11-17,Third coal power plant has been shut down,http://island.lk/third-coal-power-plant-has-been-shut-down/
The Island,2020-11-17,Police crackdown on hawkers at traffic lights,http://island.lk/police-crackdown-on-hawkers-at-traffic-lights/
The Island,2020-11-17,"Former ministers Bathiudeen, Haleem visited house of suspect arrested over Easter bombings several times",http://island.lk/former-ministers-bathiudeen-haleem-visited-house-of-suspect-arrested-over-easter-bombings-several-times/
The Island,2020-11-17,UK appoints champion to support countries like Sri Lanka to deal with climate change,http://island.lk/uk-appoints-champion-to-support-countries-like-sri-lanka-to-deal-with-climate-change/
The Island,2020-11-17,Health Ministry has lost interest in PCR testing – Ravi Kumudesh,http://island.lk/health-ministry-has-lost-interest-in-pcr-testing-ravi-kumudesh/
Economy Next,2020-11-17,Bogambara Prison Covid infections threatening Kandy – Kiriella,https://economynext.com/bogambara-prison-covid-infections-threatening-kandy-kiriella-76020/
Economy Next,2020-11-17,Opinion: It is time to rethink how we are dealing with Covid,https://economynext.com/opinion-it-is-time-to-rethink-how-we-are-dealing-with-covid-76010/
Daily FT,2020-11-17,"Dual cluster exceeds 14,000 cases with 387 new patients ",http://www.ft.lk/news/Dual-cluster-exceeds-14-000-cases-with-387-new-patients/56-709018
Daily FT,2020-11-17,COVID-19 death toll increases to 61,http://www.ft.lk/news/COVID-19-death-toll-increases-to-61/56-709017
Daily FT,2020-11-17,Colombo Mayor calls for 3-week lockdown of city,http://www.ft.lk/news/Colombo-Mayor-calls-for-3-week-lockdown-of-city/56-709016
Daily FT,2020-11-17,Court rules deforestation of Kallaru forest near Wilpattu and settlement illegal,http://www.ft.lk/news/Court-rules-deforestation-of-Kallaru-forest-near-Wilpattu-and-settlement-illegal/56-709015
Daily FT,2020-11-17,CID grills SJB MP Eran Wickramaratne for four hours,http://www.ft.lk/news/CID-grills-SJB-MP-Eran-Wickramaratne-for-four-hours/56-709014
Daily Mirror,2020-11-18,Development budget  to elevate a shattered economy: PM,http://www.dailymirror.lk/print/front_page/Development-budget-to-elevate-a-shattered-economy-PM/238-200057
